epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.86577745,5.7152733,0.48549379,0.04855986,0,0,0,0,0,0
2,0.000299704,0,5.7903747,5.67099237,0.38256035,0.04614198,0,0,0,0,0,0
3,0.000298817,0,5.69325791,5.59679223,0.3076152,0.04181135,0,0,0,0,0,0
4,0.000297343,0,5.59363687,5.5154624,0.24729317,0.03986485,0,0,0,0,0,0
5,0.000295287,0,5.4431873,5.38066112,0.19623512,0.0365564,0,0,0,0,0,0
6,0.000292658,1,5.33327184,5.26549882,0.15688054,0.03453969,0.17254917,0.1706382,0.00955485,0,0,0
7,0.000289466,1,5.2327639,5.17365853,0.12592275,0.03242359,0.18086192,0.17881082,0.01025548,0,0,0
8,0.000285724,1,5.1605155,5.10866522,0.10288871,0.03136249,0.17847441,0.17640442,0.01034998,0,0,0
9,0.000281446,1,5.08232089,5.03626784,0.08513734,0.03088042,0.17423787,0.17208946,0.01074202,0,0,0
10,0.000276649,1,5.02759272,4.98616475,0.07049113,0.02927671,0.17352976,0.17123445,0.01147655,0,0,0
11,0.000271353,1,4.98404053,4.94598774,0.05947482,0.02842588,0.17367781,0.17128962,0.01194095,0,0,0
12,0.000265577,1,4.9307318,4.89565135,0.05077955,0.02766198,0.17080369,0.16830802,0.01247836,0,0,0
13,0.000259345,1,4.89505821,4.86180879,0.04443628,0.02726176,0.17192353,0.16933907,0.01292229,0,0,0
14,0.000252682,1,4.85837908,4.82693273,0.03890441,0.0265982,0.17115225,0.16845558,0.01348332,0,0,0
15,0.000245614,1,4.8327868,4.80293528,0.03374112,0.02571375,0.1715779,0.16882577,0.01376066,0,0,0
16,0.000238168,1,4.78939937,4.76019127,0.03138707,0.02626625,0.17165329,0.16869663,0.01478331,0,0,0
17,0.000230374,1,4.76824132,4.74029731,0.02782292,0.02539451,0.17057702,0.16755544,0.01510786,0,0,0
