epoch,lr,snapshot_ready,loss_total,loss_global,loss_local,loss_pos,loss_embed,loss_embed_global,loss_embed_local,loss_raw_mask,loss_raw_fg_cons,loss_raw_prior
1,0.0003,0,5.97749037,5.66364025,0.53181213,0,0,0,0,0.60544145,0.01964067,0
2,0.000299704,0,5.92645523,5.66918731,0.41967832,0,0,0,0,0.51660947,0.01474722,0
3,0.000298817,0,5.88565987,5.66271019,0.33277074,0,0,0,0,0.48498824,0.01247571,0
4,0.000297343,0,5.72324813,5.52583257,0.26304676,0,0,0,0,0.46723155,0.01129099,0
5,0.000295287,0,5.58960828,5.41400066,0.20396173,0,0,0,0,0.45184692,0.00971567,0
6,0.000292658,1,5.47464526,5.30084882,0.15890006,0,0.14676424,0.14606969,0.00347273,0.44038746,0.0090207,0
7,0.000289466,1,5.36349521,5.20091085,0.12454011,0,0.1561389,0.1552182,0.00460352,0.43344392,0.00831637,0
8,0.000285724,1,5.27612799,5.1235485,0.09941081,0,0.15613098,0.15507696,0.0052701,0.42381054,0.00793662,0
9,0.000281446,1,5.21706814,5.07229216,0.07799976,0,0.15734187,0.15619736,0.00572254,0.41802949,0.00756314,0
10,0.000276649,1,5.14989574,5.01143446,0.06276556,0,0.15565642,0.15443372,0.00611351,0.41201763,0.00707698,0
11,0.000271353,1,5.09394696,4.95996419,0.05161001,0,0.15549437,0.15414034,0.00677019,0.40769537,0.00684315,0
12,0.000265577,1,5.0341738,4.90450319,0.04186238,0,0.15663244,0.15515421,0.00739116,0.40181632,0.00663043,0
13,0.000259345,1,5.00942156,4.88229491,0.0356256,0,0.15817115,0.15655519,0.00807982,0.39861269,0.00645817,0
14,0.000252682,1,4.96809785,4.84390051,0.02967095,0,0.15814307,0.15640758,0.00867747,0.39439521,0.00588647,0
15,0.000245614,1,4.92853188,4.80704146,0.0248905,0,0.157372,0.15555514,0.00908429,0.38967051,0.00578992,0
16,0.000238168,1,4.90160972,4.78226004,0.02160104,0,0.15754968,0.15561262,0.00968528,0.38511124,0.00557714,0
17,0.000230374,1,4.88305746,4.76477802,0.01901374,0,0.16094776,0.15888844,0.01029663,0.38261392,0.00551398,0
18,0.000222263,1,4.85815051,4.74111965,0.01658881,0,0.16279348,0.16063226,0.01080609,0.37990571,0.00532291,0
19,0.000213867,1,4.82480487,4.70907209,0.01460125,0,0.16105102,0.15878015,0.01135433,0.37801213,0.00496146,0
20,0.000205219,1,4.80716322,4.69226091,0.01285284,0,0.16401471,0.16167693,0.01168894,0.3754916,0.00514702,0
21,0.000196353,1,4.76589339,4.65219279,0.01124591,0,0.16428737,0.16187604,0.01205663,0.37278559,0.00467807,0
22,0.000187303,1,4.76327105,4.65041133,0.01028291,0,0.16427578,0.16178619,0.01244796,0.37058989,0.0046654,0
23,0.000178107,1,4.73894378,4.62686416,0.00923097,0,0.16642584,0.16388901,0.01268418,0.36801917,0.00441963,0
24,0.0001688,1,4.72567949,4.61441144,0.00863212,0,0.16545225,0.16280369,0.01324282,0.36587249,0.00443385,0
25,0.000159419,1,4.71281779,4.60195832,0.007881,0,0.16973687,0.16703536,0.01350756,0.36344415,0.00440282,0
26,0.00015,1,4.70640868,4.59616097,0.00705836,0,0.17032679,0.16757618,0.01375306,0.36189782,0.00415386,0
27,0.000140581,1,4.67185283,4.5620921,0.00666789,0,0.16899927,0.16615796,0.01420656,0.36098111,0.00410104,0
